y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,label,index
3,5,8,17,25,33,38,41,46,50,53,56,58,60,61,62,63,64,65,65,66,66,66,66,66,66,66,65,65,64,77,112
0,0,3,11,20,28,34,39,42,45,48,52,55,58,60,62,64,64,64,64,65,66,67,67,67,66,67,67,67,67,80,113
1,3,8,16,22,29,35,40,44,49,51,54,58,61,63,65,66,67,68,69,70,71,71,72,72,72,72,72,72,72,82,114
0,3,8,16,23,28,34,38,43,47,51,55,59,62,64,65,67,68,69,69,70,71,72,72,71,71,71,71,71,71,66,115
2,6,11,15,23,28,32,36,37,38,40,41,42,43,44,44,44,44,44,44,44,44,44,44,44,44,44,43,42,42,65,116
0,0,3,8,14,21,26,31,35,37,40,41,43,44,45,45,45,45,45,45,45,44,43,42,41,40,39,38,38,38,63,117
1,2,6,10,15,22,28,32,36,40,43,47,50,52,53,54,55,55,55,55,55,55,55,55,55,54,54,54,54,54,65,118
3,6,9,14,20,25,29,33,37,42,45,48,49,51,52,53,54,54,55,55,55,55,55,54,54,54,54,54,54,53,63,119
4,9,17,25,32,39,44,48,51,54,56,59,61,62,62,62,63,63,63,63,63,63,63,64,64,64,64,64,63,63,99,120
2,6,13,20,27,34,40,45,50,54,57,60,63,65,66,67,67,67,67,67,68,69,70,70,70,70,70,70,70,70,96,121
0,2,5,12,20,27,33,38,41,45,48,50,53,56,59,60,61,61,61,62,61,61,60,60,60,60,60,60,60,60,55,122
1,5,9,17,26,32,37,41,45,48,51,55,59,62,64,67,68,69,69,69,68,68,67,67,66,66,66,66,65,64,63,123
3,4,8,13,18,24,29,30,32,34,36,37,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,39,39,68,124
2,4,7,12,17,22,28,32,36,39,41,42,43,43,43,43,44,45,45,45,45,45,45,45,45,45,44,44,43,42,57,125
0,1,4,9,16,23,30,34,39,42,45,47,49,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,58,126
0,2,4,10,15,20,26,31,35,38,42,45,48,50,52,52,53,54,55,55,54,54,54,53,53,53,53,52,52,52,65,127
0,1,5,12,18,26,33,39,44,48,51,54,56,58,59,59,59,59,59,59,59,59,59,59,59,59,58,57,57,56,78,128
0,1,4,10,18,27,35,40,44,47,49,51,54,57,58,60,60,61,61,62,63,64,64,64,64,64,64,64,64,63,90,129
0,2,7,13,22,28,34,39,43,47,52,55,59,62,63,64,65,65,65,66,66,66,67,67,66,66,66,65,65,64,88,130
2,4,8,15,22,30,37,43,48,52,56,59,62,65,66,67,67,68,68,68,68,68,68,68,68,69,69,69,69,69,81,131
0,1,4,10,17,24,31,39,44,47,48,47,47,49,51,52,52,52,52,52,51,51,52,53,53,53,53,53,52,52,63,132
7,9,13,17,23,27,31,35,38,41,43,46,47,49,50,50,50,50,50,50,50,50,49,48,48,47,46,45,44,44,49,133
2,5,11,18,22,28,33,37,39,40,42,45,48,49,50,51,52,53,54,54,54,54,54,54,55,55,55,55,55,54,65,134
3,5,7,13,19,25,29,32,35,37,39,41,44,46,47,49,49,50,51,52,52,52,52,52,52,53,53,53,53,52,69,135
3,6,11,18,24,31,37,41,45,49,52,55,57,58,59,60,62,62,62,62,62,62,62,62,61,60,60,60,60,59,68,136
3,5,9,15,22,28,34,39,44,48,50,53,55,57,58,59,60,61,61,61,60,60,60,60,60,60,60,60,60,60,66,137
7,9,14,19,24,30,36,40,44,48,52,55,58,60,61,63,65,66,66,67,67,67,67,67,67,67,67,67,67,67,60,138
2,3,7,14,23,32,37,43,47,51,54,58,61,63,65,66,67,68,68,68,68,68,68,69,69,69,69,69,69,68,74,139
1,3,11,20,29,37,44,49,54,57,60,64,67,71,74,76,78,79,80,80,80,80,80,80,80,80,80,80,80,79,81,140
3,4,9,16,22,27,31,35,38,40,42,42,42,41,40,39,39,39,39,39,40,40,40,40,40,40,40,39,38,38,80,141
1,4,7,12,17,22,27,31,35,38,40,42,43,43,44,44,44,44,43,42,42,41,40,39,39,38,37,37,36,35,49,142
0,1,7,12,19,25,28,32,34,35,36,37,39,39,39,39,40,40,41,41,41,40,40,40,41,41,41,41,41,41,63,143
1,4,8,12,19,25,31,35,38,41,44,47,49,51,51,51,52,52,52,54,54,54,54,54,54,54,53,53,52,52,58,144
0,1,5,11,18,26,32,37,40,43,46,49,53,55,57,57,57,56,57,58,59,59,60,60,60,59,59,59,58,58,70,145
4,5,8,13,19,26,31,36,39,41,43,46,48,50,51,51,52,52,53,52,52,51,51,50,50,50,50,50,51,51,57,146
2,8,13,22,30,37,43,49,54,58,61,64,66,67,68,69,69,70,70,70,70,70,70,70,70,71,71,71,71,70,81,147
8,13,20,29,36,41,46,51,55,59,61,64,66,66,67,67,67,67,67,67,67,68,68,68,68,68,67,67,67,67,82,148
2,6,12,20,29,37,44,49,54,58,62,65,68,68,69,70,70,71,71,71,71,71,71,71,71,71,71,71,70,69,60,149
0,2,8,15,23,31,38,42,46,50,54,58,61,63,66,67,67,68,69,69,69,68,68,68,68,68,68,68,67,67,63,150
5,9,15,21,26,30,32,34,36,37,37,38,39,40,41,41,41,41,40,39,39,39,39,39,39,39,39,39,38,37,55,151
1,2,4,8,12,16,23,28,33,37,40,42,45,47,49,51,52,52,52,52,52,51,51,51,51,51,51,51,50,50,51,152
1,4,10,16,20,23,26,30,33,37,40,42,44,46,47,49,50,50,51,51,51,51,51,51,51,51,51,50,50,50,49,153
1,1,6,12,20,27,33,37,42,46,50,52,55,57,59,60,62,63,64,64,64,64,64,63,63,62,63,63,63,62,79,154
1,3,7,13,20,27,33,39,47,52,56,58,60,61,62,63,63,64,64,64,64,63,62,62,61,60,60,59,59,59,84,155
5,7,14,22,29,34,39,43,48,52,55,58,60,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,71,156
4,7,12,18,26,32,38,44,49,54,57,59,61,64,65,65,65,66,67,67,67,67,67,67,67,67,67,66,65,64,74,157
3,6,11,18,24,31,36,41,45,50,53,57,59,61,62,64,65,66,67,68,68,68,68,69,70,71,71,72,72,72,80,158
0,1,5,12,19,25,28,31,32,34,36,38,40,42,44,45,46,47,47,47,47,46,46,45,45,45,45,44,43,43,62,159
3,6,10,15,19,24,30,35,39,42,44,46,48,50,51,51,51,51,51,51,51,51,50,50,50,50,49,49,49,48,55,160
0,2,6,12,18,25,31,33,36,39,42,45,48,50,52,53,54,54,55,55,55,55,55,55,55,55,55,55,55,55,51,161
6,10,15,21,27,30,35,39,44,47,51,53,55,56,56,56,57,57,58,58,58,58,58,58,58,58,57,56,56,55,67,162
5,7,12,18,24,29,33,37,40,45,48,51,53,54,55,56,56,56,56,56,56,56,56,55,54,53,52,51,50,51,57,163
7,14,21,26,32,38,43,47,51,54,57,59,60,61,62,63,63,63,63,63,63,63,63,63,63,62,62,62,62,61,79,164
7,8,13,20,26,32,38,43,47,52,58,61,63,65,66,68,68,68,67,67,67,68,68,68,68,68,68,68,68,67,79,165
28,32,35,39,44,48,52,56,60,64,67,69,70,71,72,72,72,72,72,72,72,72,72,72,72,71,70,69,68,67,72,166
7,8,11,17,23,29,34,38,40,41,43,44,46,47,48,49,50,49,50,50,50,49,48,47,47,46,45,44,43,42,64,167
1,3,7,13,19,26,31,36,39,41,41,42,42,43,45,45,45,45,45,45,45,45,44,43,43,43,42,41,40,40,47,168
2,4,8,15,22,29,34,37,40,41,43,44,47,49,50,50,50,50,50,50,49,49,48,48,47,47,46,46,45,44,48,169
4,6,9,16,22,29,34,39,42,46,51,54,56,57,58,59,59,59,58,58,57,56,56,56,55,55,54,54,53,53,68,170
13,16,21,27,34,39,43,46,50,53,56,58,59,59,59,59,58,58,58,58,58,58,58,58,57,56,55,55,55,54,69,171
2,4,9,15,22,31,38,42,46,50,53,56,59,62,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,76,172
2,7,11,19,27,36,42,46,51,54,56,60,62,64,65,66,66,67,66,65,65,65,65,65,65,64,64,64,64,63,72,173
6,11,17,25,33,39,45,50,54,59,62,65,68,68,69,70,70,70,70,70,70,70,71,71,71,71,71,70,70,70,87,174
9,13,18,23,28,34,38,39,41,42,44,44,45,45,45,45,45,45,44,44,43,42,41,40,40,39,39,38,38,39,75,175
5,9,16,22,25,28,31,34,36,38,40,42,43,44,45,46,47,47,46,46,45,45,44,43,43,42,41,40,40,40,43,176
1,3,8,13,18,25,30,35,38,41,42,44,46,48,49,49,50,50,51,51,51,51,51,51,51,51,51,50,50,50,67,177
4,6,10,17,24,32,38,43,47,50,53,55,57,58,59,60,61,61,61,62,62,62,61,61,62,62,61,60,60,59,78,178
2,5,8,14,20,24,29,34,38,42,46,50,53,56,58,59,61,62,63,63,63,63,63,62,62,62,61,61,61,60,69,179
6,10,17,24,30,34,38,41,45,49,52,53,56,58,60,61,62,63,63,64,64,64,64,64,64,64,64,64,64,64,81,180
9,13,18,25,32,39,44,49,53,57,60,62,63,63,63,63,64,64,64,64,64,64,64,64,64,63,62,61,61,61,79,181
12,16,22,31,38,45,50,54,58,62,65,67,69,70,71,71,72,72,72,72,71,71,71,71,71,71,71,70,69,68,77,182
12,15,19,23,27,31,35,38,41,45,46,46,46,47,48,49,49,49,49,49,48,48,48,48,48,47,47,46,45,44,61,183
10,13,17,21,24,26,29,35,39,43,46,48,50,51,52,52,52,53,54,54,54,54,55,55,55,55,55,54,54,54,59,184
2,5,10,15,22,27,33,37,40,45,49,51,52,53,53,55,55,55,55,55,55,55,54,55,54,55,55,55,54,54,57,185
6,12,17,23,28,33,37,42,47,51,54,56,57,58,58,58,58,58,58,58,58,57,57,56,56,55,55,54,54,53,63,186
7,8,13,20,29,33,37,40,44,47,50,51,53,53,53,53,53,52,53,53,53,52,52,51,51,50,50,49,49,48,49,187
4,8,14,22,28,33,39,44,49,52,54,56,57,59,61,61,62,62,62,62,62,62,62,61,61,60,60,59,59,58,63,188
0,1,4,8,17,26,33,38,43,47,51,54,57,58,60,62,64,64,65,65,66,66,69,68,68,68,68,68,68,68,63,189
6,11,19,28,35,40,44,47,50,53,56,59,61,63,65,65,66,67,68,68,69,68,68,68,68,68,68,68,68,68,64,190
4,7,12,17,23,28,33,36,38,39,41,42,43,44,46,46,46,45,45,45,45,46,46,46,46,47,47,47,46,45,64,191
1,3,6,12,18,24,30,35,39,44,47,49,51,54,55,56,56,56,56,56,55,54,53,53,52,51,50,50,49,49,52,192
1,3,7,14,19,27,32,37,40,43,45,47,50,51,53,53,54,54,55,55,55,55,55,55,55,55,54,54,54,54,60,193
9,13,18,25,32,37,41,44,46,49,52,54,56,56,56,57,57,57,57,57,57,57,57,56,56,55,55,54,53,52,72,194
4,5,7,12,18,25,31,35,39,42,45,48,50,52,53,55,57,57,57,57,57,57,58,58,58,58,58,58,58,57,65,195
8,11,16,23,30,35,39,43,46,49,53,54,56,57,57,58,59,59,59,59,60,60,60,60,60,60,60,60,60,59,79,196
3,6,11,19,26,34,41,48,53,57,61,64,67,68,70,69,69,69,69,69,70,70,70,70,70,70,69,68,68,67,95,197
10,11,13,17,21,27,32,37,40,45,47,49,51,51,52,53,54,56,56,56,56,56,56,56,55,54,53,52,52,51,73,198
5,7,12,18,22,27,32,36,40,43,45,46,46,46,47,48,48,48,47,46,45,45,45,45,45,45,45,45,45,45,53,199
4,5,8,13,17,23,26,31,36,40,45,50,53,55,57,57,58,58,58,58,57,57,57,57,57,57,57,57,56,56,59,200
6,7,9,15,20,25,30,34,37,40,42,44,46,49,49,49,49,49,49,49,49,48,47,46,46,45,44,43,43,42,59,201
12,15,19,26,31,37,43,47,51,53,55,56,56,56,56,56,56,56,56,56,55,54,53,52,51,50,49,49,49,49,54,202
7,11,15,24,32,37,41,44,47,51,53,53,54,55,54,54,54,54,54,54,53,53,53,53,52,52,52,51,51,50,59,203
1,1,3,9,18,28,35,41,45,49,52,56,58,60,60,60,60,59,59,59,59,59,58,57,57,57,56,55,54,53,57,204
3,6,11,19,27,35,42,47,51,54,57,60,63,63,63,64,64,64,64,64,65,65,65,64,64,64,64,64,63,63,82,205
0,1,8,19,30,38,45,50,55,59,63,65,67,67,68,69,70,70,71,71,71,71,71,71,71,71,70,70,70,69,81,206
4,7,13,21,29,33,39,45,49,51,52,53,53,52,53,53,53,52,51,50,50,49,48,47,46,45,44,43,42,41,73,207
7,11,19,29,37,41,45,48,50,51,51,51,50,50,50,49,48,48,47,46,45,44,43,42,42,41,40,39,38,38,61,208
7,12,20,29,36,41,43,45,47,49,51,51,51,51,51,50,50,50,49,48,48,48,47,47,47,47,46,45,45,45,65,209
2,4,11,19,26,34,41,47,52,56,59,62,65,67,69,69,69,69,68,68,68,68,68,68,67,66,66,66,66,65,73,210
1,4,8,13,20,25,31,36,41,46,49,52,55,55,56,56,57,58,58,57,57,57,57,57,57,56,55,55,55,54,66,211
1,4,10,17,25,30,36,43,47,51,55,59,62,63,65,67,67,67,67,67,67,68,68,68,67,67,67,67,67,67,89,212
2,3,4,6,9,12,15,18,22,26,29,33,37,41,44,47,50,52,53,54,55,56,56,56,56,56,56,56,56,56,91,213
16,17,21,25,30,36,39,43,46,50,54,56,58,59,60,62,63,63,63,63,63,63,63,63,63,63,63,63,62,62,73,214
