y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,label
18,21,26,33,40,44,48,52,54,56,58,60,62,63,64,65,65,66,66,66,66,65,64,63,63,63,63,62,61,60,49
0,1,2,9,19,28,34,38,40,44,48,50,51,52,53,53,52,52,51,50,50,49,48,47,47,46,45,45,44,43,86
14,18,22,29,33,37,40,42,44,45,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,67
1,5,9,15,21,25,29,33,37,40,43,46,49,51,53,54,55,55,56,56,56,56,56,56,56,56,55,55,55,55,57
0,1,1,3,9,15,21,26,32,36,39,42,45,48,50,52,54,55,56,56,56,56,56,56,56,56,56,56,56,55,52
0,2,9,19,26,32,38,44,49,52,54,56,58,59,59,60,60,60,60,60,60,60,60,59,59,59,59,58,57,56,62
3,6,11,18,25,30,35,40,45,48,51,53,56,59,61,62,63,64,64,64,64,64,64,64,64,64,64,63,62,62,54
1,4,8,13,19,28,34,39,44,48,51,54,56,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,43
4,5,7,11,17,26,33,38,42,46,50,54,57,60,62,63,63,64,64,64,64,64,64,64,63,63,63,63,63,63,50
10,15,23,30,35,39,43,46,49,52,55,58,60,62,63,64,65,65,65,64,64,63,63,62,62,62,62,59,55,51,40
2,5,11,20,28,34,41,47,52,56,59,62,65,67,68,69,70,70,69,69,69,69,69,69,69,69,69,68,67,66,54
1,6,13,22,31,37,43,48,52,56,59,62,66,68,70,71,72,73,73,73,73,73,73,73,73,73,72,72,72,72,61
9,14,19,25,30,35,39,42,43,45,47,47,48,48,48,48,48,47,47,46,46,45,44,44,43,42,41,40,40,39,55
23,26,30,34,37,40,42,43,44,46,47,48,49,49,49,49,49,49,49,49,49,49,49,49,49,48,48,47,46,45,58
9,12,16,21,28,34,37,39,41,43,45,47,47,48,49,49,49,49,49,49,49,49,49,48,47,47,47,47,47,46,40
15,17,22,27,33,38,41,44,47,49,50,52,53,53,54,55,56,56,56,56,56,56,56,56,56,56,55,54,54,53,47
12,17,23,29,34,38,41,44,48,50,51,53,54,55,56,56,56,56,56,56,56,56,56,56,56,56,55,55,55,54,62
3,8,14,21,29,36,41,45,48,50,52,54,56,58,60,62,63,64,64,64,64,64,64,64,64,63,62,61,61,61,56
-5,-2,-1,4,11,20,29,36,42,48,53,57,59,62,65,67,68,68,68,68,67,66,65,65,65,65,65,65,64,64,62
12,17,23,28,35,41,46,50,53,56,59,61,63,65,66,67,67,67,67,67,67,67,67,67,67,66,65,64,64,63,59
2,8,16,25,32,38,45,49,53,56,59,61,63,66,68,69,70,71,71,71,71,70,70,70,70,70,70,70,70,70,64
1,5,7,12,19,24,28,31,33,35,37,39,40,42,44,47,48,49,50,50,50,50,50,50,50,50,50,50,50,50,59
16,20,24,30,37,41,43,46,49,50,50,51,52,52,52,52,52,52,52,52,51,51,50,50,50,50,50,50,50,50,70
8,11,14,20,27,33,37,42,44,46,48,50,52,53,54,54,54,54,55,55,55,56,56,56,55,55,55,55,55,55,54
-4,0,4,9,15,21,28,33,38,44,50,54,57,60,63,65,66,67,67,67,67,66,65,64,63,63,62,61,60,58,66
-1,0,2,7,14,22,28,33,38,42,46,49,51,53,56,58,60,62,63,63,63,63,62,61,61,61,61,61,60,60,50
3,4,7,13,21,29,36,42,48,53,56,59,62,64,64,64,64,64,64,64,64,64,64,64,64,63,63,63,63,63,61
7,11,16,22,28,34,39,42,45,48,51,53,55,58,60,61,61,62,62,62,62,62,62,62,62,62,61,60,59,58,42
6,13,21,29,36,43,49,53,57,62,65,68,70,72,73,73,73,73,73,73,73,73,73,72,72,72,71,70,69,68,63
